Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
IT Project Manager,Dubai,TGC Consulting Middle East,None,"This opportunity is with a large IT Company based in Dubai, UAE. As a Project Manager, you are responsible for planning, overseeing and leading projects from…",None,None,2021-02-20
Chief of Staff - Government & Public Services - Manager,Dubai,Deloitte,None,Clients & Industries - Chief of Staff - Government & Public Services - Deloitte Middle East - Manager/Senior Manager. Looking for a rewarding career?,None,None,2021-03-03
Customer Success Manager - MEA,Dubai,WebEngage,None,"Is your goal to build relationships based on trust which results in happy, passionate, loyal customers and colleagues? Bachelor’s degree in IT/Computer Science.",None,None,2021-03-14
Global Manager - Ecommerce & Last Mile Customer Success,Dubai,Aramex,None,"Excellent cross functional skills including Sales, Operations, Invoicing, IT etc. You will be responsible for overall relationship and retention of a set of…",None,None,2021-03-17
Resort Assistant Manager - Front Office,Jumeirah,Four Seasons,None,"One to two years previous experience in a supervisory or assistant manager position in Front Office or Housekeeping. Has a Sub- tropical, arid climate.",None,None,2021-02-20
Test Centre Deputy Administrator,Dubai,University of Wollongong in Dubai,None,"Bachelor’s Degree in Office Management or IT or Business Administration. On IELTS and OET test days, the Test Centre Deputy Administrator assumes the test day…",None,None,2021-03-15
Assistant Human Resources Manager,Dubai,The Arts Club Dubai,None,"Instructing managers to train, guide and develop colleagues,. Resources Manager is responsible for managing, supervising and guiding the implementation.",None,None,2021-03-05
"UAE National- IT Executive | IKEA Service Office | Dubai, UA...",Dubai,IKEA,None,In coordination with Regional IT Project Manager. IT Tools (Multi-Channel) & Business Processes. Responsible for the new store project management – IT…,None,None,2021-03-02
Stock Keeper,Dubai,Azadea,None,"Participate in the inventory of products and report the end-of-day inventory status to Shop Manager. Receive merchandize, count it physically and electronically…",None,None,2021-02-27
IT Manager,Dubai,Lambent WorldWide Jobs,None,Large oracle implementation in contracting or construction companies or EPC (engineering procurement & construction)construction module like project management…,None,None,2021-02-20
Assistant Food & Beverage Manager,Dubai,Centara Hotels & Resorts,None,Perform all duties as requested by the Food & Beverage Manager. Plan and organize briefings and meetings in the absence of Food & Beverage Manager.,None,None,2021-02-22
Assistant Manager,Dubai,Lifestyle Concept,None,"Responsible for rollout of all Business Excellence Projects and work along with IT. Working directly with Head of Retail, Territory retail managers and Concept…",None,None,2021-02-20
General Manager,Dubai,Nathan & Nathan,None,Executive Secretary of the General Manager (direct responsibility). Executive Director (the immediate responsible before the General Manager).,None,None,2021-02-20
"Manager, Vendor Management (Softlines)",Dubai,Amazon Middle East and NA FZ,None,"A willingness to roll up sleeves to get it done. High threshold for working in an ambiguous, fast paced environment start-up like environment – figuring it out…",None,None,2021-03-09
Restaurant Manager - All day Dining,Dubai,Waldorf Astoria Hotels & Resorts,None,What will it be like to work for this Hilton Worldwide Brand? What will it be like to work for Waldorf Astoria Hotels & Resorts? What will I be doing?,None,None,2021-03-11
Talent Acquisition Specialist,Dubai,Connect West Gateway HR Consultancies,"2,750-4,000","The company is growing day by day, and all the teams need to grow with it. Concretely you will have to manage the adverts, the applications, and the interviews…",None,None,2021-03-19
"Manager, Leasing",Dubai,Majid Al Futtaim,None,Agree with Senior Manager Leasing on objectives. Agree with Senior Manager Leasing and the relevant Development Manager appropriate marketing plans which will…,None,None,2021-03-17
ALEXANDER MCQUEEN Sales Associate,Dubai,AP Luxury Goods Gulf LLC,None,"Reporting – Store Manager / Store Director. It opens up opportunities for people to express their talent, both individually and collectively and it helps foster…",None,None,2021-03-04
GENERAL MANAGER,Dubai,Grow Digital Services,None,Are you a manager that is far from general? Set Targets for managers and measure their performance regularly. This position is far from general.,None,None,2021-03-01
