Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Business Analyst – Regulatory Compliance,Abu Dhabi,Marc Ellis Consulting,None,Understanding of IT systems and the ability to document business requirements into BRD. Ensure effectiveness in reporting through functional data validation and…,None,None,2/18/21
Senior Analyst Financial Reporting & Tax,Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,Balance sheet and cash flow forecast) follow-up on variances and overruns lead on resolving accounting and reporting discrepancies lead in the continuous…,Senior,None,2/18/21
Technical Development Senior Officer,Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,8 Years of relevant IT experience and customer service industry or Supply Chain. The Analyst is responsible for technical troubleshooting and analysis of…,Senior,None,2/18/21
Business Solution Manager,Abu Dhabi,Tiro International,None,Ensure that the IT systems and applications within the Bank are operating effectively and efficiently toward achieving high operating standards.,None,None,2/18/21
BA Regulatory Compliance - Control Room,Abu Dhabi,Marc Ellis Consulting,None, Understanding of IT systems and the ability to document business requirements into BRD.  Lead the functional validation and reconciliation of data against…,None,None,2/18/21
ERP Application Techno Functional Analyst (HRMS),Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,Degree in computer science or related field Microsoft and Oracle applications and ERP technologies Techno functional is an added advantage 6 to 8 Years of…,None,None,2/18/21
Customer Due Diligence (CDD) Business Analyst,Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,Good system level training ability. Understanding of system architecture and infrastructures. The CDD business analyst is accountable for:,None,None,2/18/21
Manager-Threat Intelligence,Abu Dhabi,Digital14,None,"Bachelor’s degree in Computer Information Systems or a related discipline, or. Lead a team of threat intelligence analyst to collect, analyze and distribute…",None,None,2/18/21
Murex Finance BA,Abu Dhabi,Luxoft,None,The Murex BackOffice Business Analyst will be required to be part of GM IT Finance Squad responsible to provide IT services to Global Markets Finance team.,None,None,2/18/21
Cyber Security Analyst / Associate,Abu Dhabi,Gulfconnexions.com,None,The incumbent will be responsible for making sure that the IT Systems throughout the bank is appropriately protected.,None,None,2/18/21
Microsoft dynamics CRM Technical Consultant,Ajman,ECS ME LLC,None,"Extend system functionality through software development. Perform maintenance and updates on ERP System. Designing and developing application tables, reports,…",None,None,3/12/21
IT Support Analyst,Sharjah,JAMS HR Solutions,None,"As a IT Support Analyst you will be responsible to Monitor the internal ticketing systems, completing basic support requests via remote tools.",None,None,3/14/21
SOC Analyst,Sharjah,Crescent Petroleum,None,Coordinate tasks as directed by the supervisor to assist in the improvement of the security of IT system. Carry out technical vulnerability assessments of IT…,None,None,3/5/21
SAP Specialist,Sharjah,The Rekruiters,"16,000","Responsible for performing SAP Upgrades, implementations, system migrations and installations. Bachelors in IT, Computer Science or relevant field, SAP…",None,None,2/28/21
