Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
CIEX Specialist,Dubai,BRF,None,"This is not limited to food production â€“ it extends to projects, initiatives and causes we embrace. Further, the CIEX Specialist will be responsible for drivingâ€_",None,None,3/11/21
Civil Engineer,Dubai,HDR,None,"It's also about what you do and how you do it. Function as a Technical Specialist or Project Manager on mid-size projects as needed, but project management isâ€_",None,None,3/24/21
Talent Acquisition Specialist INTERN M/F,Jumeirah,AKKA TECHNOLOGIES,None,"Defense, Aerospace, Naval, Oil/Gas, Railway, Healthcare, Automotive, IT). Sourcing, attracting, recruiting, interviewing, and on-boarding employees to AKKAâ€_",None,None,2/28/21
Fragrance Library Coordinator for MENA,Dubai,Givaudan,None,"Our Fragrance Development team houses Evaluatorâ€™s who are olfactive development specialists, Marketeers, Consumer Insights Specialists, and Library (Gallery) &â€_",None,None,3/26/21
Social Media Specialist,Dubai,Top Spots Dubai,"4,500-7,000","Due to continued growth, we are looking for an enthusiastic and driven Social Media Specialist to join us here at Top Spots Dubai.",None,1,3/17/21
Content Marketing Specialist - English speaking,Dubai,Sana Commerce,None,"Whatâ€™s in it for you? Weâ€™re in it for the long haul. It all started in 2007, with a pizza and a plan. As a Content Marketing Specialist you will increase theâ€_",None,None,3/12/21
Senior Expandable Service Specialist - MENA,Dubai,Coretrax Expand the Limits,None,"Computer literacy, including Word, Excel and basic IT programs. Coretrax are looking for Senior Expandable Service Specialists to join our teams in the UK andâ€_",Senior,None,3/30/21
Tooling Operations Specialist I,Dubai,FieldCore,None,Support the IT and procurement organization to perform the required procurement and establish the working processes and procedures.,None,None,2/28/21
WebGL Specialist,Dubai,TenTwenty,None,Overall perfect knowledge when it comes to CMS and integration. You will work with the UI/UX designer and bridge the gap between visual design and technicalâ€_,None,None,3/22/21
Graphic Designer - L'Occitane,Dubai,Chalhoub Group,None,"Keep abreast of developments in IT, particularly design programs. Work and coordinate with printers, copywriters, photographers, other designers, accountâ€_",None,None,3/26/21
Junior Accountant,Dubai,Irwin & Dow,None,Our main aim is to provide a specialist service to clients preferring to work with a bespoke consultancy. It is expected that the Junior Accountant will hold aâ€_,Junior,None,3/15/21
Professional Support Lawyer,Dubai,Al Tamimi,None,"Preparing and circulating know-how and translating it into forms, precedents, practice notes and manuals, and assisting in technical legal training and practiceâ€_",None,None,3/30/21
Personal Assistant,Dubai,Irwin & Dow,None,Our main aim is to provide a specialist service to clients preferring to work with a bespoke consultancy. This role has diverse responsibilities and will haveâ€_,None,None,3/25/21
Electrification - Infrastructure Information Security Specia...,Dubai,ABB,None,"In this role you will be responsible for the provision of technical expertise to enable the correct defining, establishing, delivering and maintaining ofâ€_",None,None,3/11/21
Accountant,Dubai,Ecocoast Contracting,None,You can also write it on top of your resume. Ecocoast Contracting provides specialist marine contracting services for coastal projects in the UAE and abroad.,None,None,3/26/21
Digital Marketing Specialist,Dubai,ALMUTAKAMELA Vehicle Testing & Registration LLC,None,A Digital Marketing Specialist required in our company in Dubai: Must Act as a core link between Marketing Department and IT Department:,None,3,3/10/21
IT Support Engineer L2 & L3 (2 Months OWN VISA),Dubai,Quess Corp Management Consultancy,None,"Retirement of all IT equipments that belongs to the store. Coordinate, plan, and schedule IMACs with affected IT functions within the services provided byâ€_",None,None,3/19/21
IT Analyst (Information Security),Dubai,Middle East Executive,None,Our specialist teams internally are; Middle East Executive are currently working with a large holding group with multiple business units throughout the Middleâ€_,None,None,2/28/21
Command Center Analyst,Dubai,Kitopi,None,"Quite simply, do whatever it takes to make sure our operations are smooth â€” some days, this may mean analyzing data, & other days, it may mean coordinating withâ€_",None,None,3/29/21
Client Acquisition Specialist - UAE,Dubai,Shyft Middle East,None,"Client Acquisition Specialist - Dubai, UAE. For all your needs from here to there, big and small, to pick or drop, we'll #SimplyShyft it for you.",None,5,3/2/21
HR Generalist,Dubai,Irwin & Dow,None,"The team are very personable, and it is a warm and friendly environment, with strong stability factor. Our main aim is to provide a specialist service toâ€_",None,None,3/15/21
Executive Assistant â€“ Financial Services,Dubai,Irwin & Dow,None,"It is therefore expected that you will be degree educated (or equivalent) and have finance, banking or professional services exposure within a multi-national,â€_",None,None,3/24/21
Graduate Associate Program Dubai (Summer 2021) - Turkish Spe...,Dubai,AlphaSights Ltd.,None,Your role is to focus on clientsâ€™ knowledge gaps and identify specialists with the knowledge that can address them. What does the ideal role look like for you?,None,None,2/28/21
Enterprise Architect - Tadarab Intern,Dubai,Deloitte,None,"As a Tad arab IT - Enterprise Architect Intern you will: For this reason, consulting at Deloitte requires specialist skills that embrace areas such as strategy,â€_",Architect,None,3/3/21
Artwork & Design Delivery Specialist - Brand Management,Dubai,Procter & Gamble,None,"Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. With a portfolio of trusted brands as diverse as ours, it isâ€_",None,None,3/9/21
Digital Marketing Specialist,Dubai,Reeha Trading Co. LLC,"3,000",LLC is a perfumery company and it was founded in 1990. Minimum 2-3 years working as a Digital Marketing Specialist in a Perfume/beauty and Cosmetics industry inâ€_,None,,3/15/21
Product Specialist - Kitchen Operations,Dubai,Kitopi,None,"So, what does it really mean to work at Kitopi? We are seeking a Product Specialist to implement and synchronise our kitchensâ€™ technical environment.",None,None,3/17/21
Associate - DigitalBCG,Dubai,Boston Consulting Group,None,"BCG was the pioneer in business strategy when it was founded in 1963. Through DigitalBCG, we bring together a diverse mix of consultants and digital specialistsâ€_",None,None,2/28/21
Client Relations Executives â€“ (Preferably Bilingual),Dubai,Spearhead Gulf LLC,None,"You must be a high calibre professional, keen to work as part of our team of business development specialists. The key competencies we seek are:",None,None,3/24/21
SUSE Acct Executive,Dubai,SUSE,None,"Builds strong professional relationships with key IT and business executives, including C level Executives. Keeps abreast of trends and lead discussions with ITâ€_",None,None,3/19/21
IT Manager (Systems & Applications Development),Dubai,Middle East Executive,None,Our specialist teams internally are; Experience with Network and Information Security â€¢ Previous experience in a role that involved IT audits and IT purchasingâ€_,None,None,2/28/21
Graduate Recruitment Administrator,Dubai,Irwin & Dow,None,Our main aim is to provide a specialist service to clients preferring to work with a bespoke consultancy. Although the role will form part of the recruitmentâ€_,None,None,3/5/21
Recruitment Researcher,Dubai,Menasa & Partners,None,"As activity picks up in the GCC region across our Infrastructure Engineering, Architecture, and Technology/IT divisions, we are expanding and hiring experiencedâ€_",None,None,3/12/21
Bearings Specialist / Technical Sales Engineer,Dubai,Career Planet Management Services,None,Products is looking to hire a Bearing Sales Specialist / Technical Sales Engineer to strengthen their. Identify and analyze key opportunities and threats as itâ€_,None,None,3/29/21
Executive Assistant to COO,Dubai,Irwin & Dow,None,Our main aim is to provide a specialist service to clients preferring to work with a bespoke consultancy. There will be a constant review of the administrativeâ€_,None,None,2/28/21
"Associate Manager, Customer Service and Supply Chain",Dubai,BIC,None,"Committing and delivering, acting with autonomy as it was their own company while fully respecting corporate rules and procedures, and applying the appropriateâ€_",None,None,3/21/21
Business Development Associate,Dubai,Element Materials Technology,None,Qualify opportunities with assistance of inbound team / specialists. It will be your responsibility to assure customer satisfaction through all stages of theâ€_,None,None,3/25/21
Telesales Specialist,Dubai,Technogym,None,"Discover your potential with a career at Technogym, where work means loving what you do, taking on challenges, learning from others, sharing a vision and makingâ€_",None,None,2/28/21
Learning Support Assistant,Dubai,Nibras International School,None,Education:Understanding of relevant specialist area (e.g. Excellent IT and interpersonal communication skills to work closely with students and parents.,None,None,2/28/21
Customer Experience Specialist,Dubai,SMASCO,None,We are looking for an enthusiastic and dedicated customer experience specialist to enhance our customer experiences.,None,None,3/25/21
Property Management,Dubai,Star Alliance,None,"Networking to become an area specialist within your assigned community. If you believe that you have what it takes to succeed in Dubai Real Estate, apply toâ€_",None,None,3/26/21
Data Integration Specialist/Architect,Dubai,KPMG,None,"Data Integration Specialist is responsible for designing integration architectures, including development, runtime, operations, message and event-drivenâ€_",Architect,None,2/28/21
AV Business Development Specialist,Al Nahda,Solsys Technologies,None,Familiar with IT network and security services and solutions. Previous experience in IT sector environment or in a system integrator company.,None,2,3/26/21
Applications Specialist SAP Auto Parts Supply Chain,Dubai,Al-Futtaim,None,To liaise with relevant managers and stakeholders in IT to ensure full collaboration and understanding on critical topics as one IT team.,None,None,3/24/21
Events Sales Specialist,Dubai,Aggreko ME and Central Ops,None,"It is a requirement and moral obligation of each employee to be actively committed and accountable for compliance to the Aggreko Health, Safety & Environmentalâ€_",None,None,2/28/21
Project Surveyor II,Dubai,AECOM,None,#NAME?,None,None,3/17/21
Field Application Manager,Dubai,"Bio-Rad Laboratories, Inc.",None,"Good level of IT proficiency. This is managed by positioning the specialists to succeed by driving strong teamwork between specialists, account managers andâ€_",None,None,3/24/21
Trainee Recruitment Consultant - Internship,Dubai,NSI & Bluefin Talent,None,"Focusing exclusively on Financial Services, IT and Risk. Trainee Recruitment Consultant - 3 Months Internship NSI & Bluefin Talent are partnered specialistâ€_",None,None,2/28/21
IVF Specialist / Consultant,Dubai,Emirates Hospital Group,None,"We are recruiting an IVF Specialist / Consultant for our multi-specialty hospital in Dubai. MD/DM/DNB/CCST, American Board, Canadian Board or equivalent.",None,None,3/19/21
Architect proficient in 3D,Dubai,Rashid Taqui Architects & Engineers,None,Coordinate with vendors and suppliers for specialist design areas as directed. It is also required to have a working knowledge of other software and CADâ€_,Architect,None,3/12/21
Computer & Information System Manager,Dubai,Sisco Jobs,None,"Plan and direct the work of other IT professionals, including computer systems analysts, software developers, information security analysts, and computerâ€_",None,None,3/20/21
"Security Assurance Industry Specialist, MENA",Dubai,Amazon Web Services MENA FZ,None,"Security Assurance Industry Specialist, MENA. Demonstration of innovative compliance approaches in non-traditional IT environments (cloud).",None,None,2/28/21
Insurance Coordinator,Dubai,Al-Futtaim,None,"Communicating with medical billing specialists to ensure treatment codes are accurately received. Be aware of safe guarding policies, both local and national,â€_",None,None,2/28/21
ERP Field Marketing Specialist,Dubai,Oracle,None,"Able to engage customers in dialogue about their business needs and IT solutions. As a Field Marketing Specialist, you will help to establish Oracle SaaSâ€_",None,None,3/17/21
Legal Translator,Dubai,SH CORPORATE SERVICES PROVIDER,"3,500-4,000","Using specialist dictionaries, thesauruses and reference books to find the closest equivalents for terminology and words used.",None,None,3/7/21
"Consulting, Knowledge Management - Manager",Dubai,PwC,None,"For the ME Consulting New Bulletin and and ensure it is sent on time. Works effectively with Business Units and colleagues from related functions (e.g., IT,â€_",None,None,3/29/21
Customer Relations Manager,Dubai,Al-Futtaim,None,Serve as a well-qualified home furnishing specialist. Take our engaging and supportive work environment and couple it with a company culture that recognises andâ€_,None,None,2/28/21
Systems Specialist NE - Based in Lebanon,Dubai,Merck KGaA,None,"To ensure that everyoneâ€™s health is protected, instead of a standard face-to-face interview, it is likely that you will be offered alternative digital interviewâ€_",None,None,3/6/21
Tomoh Internship Program,Dubai,Microsoft,None,"Microsoftâ€™s mission is to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, aâ€_",None,None,2/28/21
Analyst - Cyber Defense,Dubai,KPMG,None,"Play subject matter specialist role in presenting observations, description, severity, risk and optimized mitigation controls to the client based on theâ€_",None,None,2/28/21
"Marketing Manager - GCC | IKEA | Service Office, Dubai",Dubai,IKEA,None,Work with PR and external communications specialist to promote IKEA sustainability and CSR agenda. Work with the digital marketing specialist to ensure the bestâ€_,None,None,3/10/21
Corporate Safety and Security Specialist Level 2 (S2),Dubai,FSGL ME,None,Graduate of FSG's International Security Specialist Program (ISSP) Modules 1-2. Must have basic IT skills and demonstrate ability to use software such asâ€_,None,None,2/28/21
Regional Specialist Electrical,Dubai,Aggreko ME and Central Ops,None,"It is a requirement and moral obligation of each employee to be actively committed and accountable for compliance to the Aggreko Health, Safety & Environmentalâ€_",None,None,2/28/21
Unmanned Aerial Vehicle System Specialist,Dubai,Ù‡Ù_Ø_Ø© Ø¯Ø¨Ù_ Ù„Ù„Ø·Ù_Ø±Ø§Ù† Ø§Ù„Ù…Ø¯Ù†Ù_,None,Validate threat causing data as it pertains to systems in support of operational assessments of Drones / UAV systems. ï‚§ Relevant certification is preferred.,None,None,2/28/21
Psychiatrist Consultant / Specialist,Dubai,SearchPlus,None,"If you're excited to be part of this hospital, it is a perfect chance for you. We are hiring an experienced Psychiatrist to join the team.",None,None,2/28/21
Cyber Security Specialist,Dubai,JAMS HR Solutions,None,Seeking and find the way to secure the IT infrastructure of an organization. As a Cyber Security Specialist he/she has to find the technique to protectâ€_,None,None,3/7/21
Talent Acquisition Specialist,Dubai,Black Pearl Consult,None,Persuasion and presentation skills that help you attract and raise interest in highly-demanded candidates within IT industry.,None,None,2/28/21
Avaya / Genesys Specialist,Dubai,Deerfoot,None,Deerfoot IT Resources Ltd is a leading specialist recruitment business for the IT industry. Contract Avaya / Genesys Specialist â€“ 15k â€“ 25k AED (Â£4k - Â£5k) Perâ€_,None,None,2/28/21
Search Engine Optimisation (SEO) Specialist,Dubai,Deriv DMCC,None,"Your role As an SEO Specialist at Deriv, you will plan and implement SEO strategies to scale our traffic and our brand online footprint to new heights.",None,None,2/28/21
Clinical Midwife Specialist - Relocate to Australia,None,Government of Western Australia,None,It is preferable for your referee to be a current supervisor or manager. An exciting opportunity exists for a Clinical Midwife Specialist in the stunningâ€_,None,None,3/13/21
Storage Sales Specialist,Dubai,Hewlett Packard Enterprise,None,"Want to know more about it? Have experience as a Storage Sales Specialist. In a typical day as a Storage Sales Specialist, you would:",None,None,2/28/21
SOAR Specialist,Dubai,Help AG,None,"SIEM, NGFW, CTI, WAF) as well as IT systems, including Office 365, Service Management Tools, and the interfaces provided by IT and security systems that can beâ€_",None,None,2/28/21
Accounts Payable Accountant,Dubai,Virtuzone,None,"Virtuzone provides just that type of support, and it's what has led us to become the leading company setup specialists in Dubai and the UAE.",None,None,2/28/21
Chief Executive Officer,Dubai,Nathan & Nathan,None,Providing final approval regarding the annual budget before submitting it to the representative of the Board of Directors (the Managing Director).,None,None,2/28/21
Contributions Account Manager - Dubai,Dubai,Bloomberg,None,"In our Global Data business, we're responsible for supplying it. You will work closely with other business areas to set company strategy around contributedâ€_",None,None,3/18/21
HR & Membership Journey Manager,Dubai,Emirates Nature-WWF,None,Possesses specialist knowledge and skills In HR required for providing expert advice. Integration of a human resource planning management system on the ITâ€_,None,None,2/28/21
Incident Response and Forensic Investigation Specialist,Dubai,Help AG,None,Exclusive focus and vast experience in IT. The Incident Response and Forensic Investigation Specialist will be responsible for off-site and on-site Incidentâ€_,None,None,2/28/21
Medical Representative - Saudi Nationals,Dubai,Merck KGaA,None,Contacts and visits exclusively medical specialists in hospitals and other clinical institutions and ensures highest level of customer service.,None,None,2/28/21
Senior Trader,Dubai,Monjasa,None,"IT proficient â€“ Microsoft Office and CRM Systems. The Monjasa Group also includes offshore ship owning company C-bed and IT consultancy, RelateIT.",Senior,None,3/17/21
RUDDER & PROPELLER SUPERVISOR -MECHANICAL,Dubai,Triangle Shipyard,None,"Advises Rudder & Propeller Work Preparator of additional work as it arises. Marine Mechanical Field engineer specialist in propulsion system (CPP , Pow thrusterâ€_",None,None,2/28/21
Digital Transformation Consultant -Banking,Dubai,Comarch,None,"Master level in Economics, IT, Banking, Management or related. Personal development - You can participate in a number of specialist trainings.",None,None,2/28/21
Content Copywriter,Dubai,SIGNATURE TECHNOLOGY DMCC,None,"Excellent IT skills, especially with channel communication software tools. The Communication and Content Specialist (CCS) is responsible for creating contentâ€_",None,4,2/28/21
General Manager,Dubai,Nathan & Nathan,None,Providing final approval regarding the annual budget before submitting it to the representative of the Board of Directors (the Managing Director).,None,None,2/28/21
IT Integration Operation Specialist,Abu Dhabi,The Rekruiters,"25,000-30,000",Integration specialist takes care of the implementation of the integration solutions and consults with the Enterprise Architect Specialist to determine variousâ€_,None,6,3/29/21
"Shopkeeper - Markethall | IKEA | YAS Island, Abu Dhabi",Abu Dhabi,IKEA,None,"Take our engaging and supportive work environment and couple it with a company culture that recognises and rewards quality performance, and what do you get?",None,None,3/30/21
Infomation security specialist/ Cybersecurity Officer,Abu Dhabi,360 HR Partners,"7,000-8,000",Follow information security policies and procedures and the IT manual. The Information security Specialist monitors the organization's IT system to look forâ€_,None,None,3/25/21
IT Desktop Support Engineer,Abu Dhabi,Axiom Technologies,None,Microsoft Office Specialist (MOS) Certification. Seeks customer feedback and acts on it. Microsoft Certified IT Professional (MCITP) certification in theâ€_,None,None,3/5/21
Management Reporting and Analysis Specialist - Budget Office,Abu Dhabi,NYU Abu Dhabi,None,New York University Abu Dhabi (NYUAD) seeks to appoint a Management Reporting and Analysis Specialist. Provide technical development support for NYUAD reportingâ€_,None,None,3/23/21
Shopkeeper - Markethall,Abu Dhabi,Al-Futtaim,None,"Take our engaging and supportive work environment and couple it with a company culture that recognises and rewards quality performance, and what do you get?",None,None,3/30/21
