Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Accounts Admin,Abu Dhabi,JAMS HR Solutions,None,"As a Accounts Admin you will be responsible for the below roles. Can work with a variety of clients from diverse backgrounds (accounting, finance, & IT).",None,None,2021-03-14
EY Abu Dhabi Emirati Foundation Program (UAE Nationals Only),Abu Dhabi,Ernst & Young,None,"It might be tough, but you can do it! As external auditors, we help companies and governments publish accurate financial accounts others can rely on.",None,None,2021-03-16
Senior Internal Auditor,Sharjah,Petrofac,None,"Our comprehensive and tailored service offering covers each stage of the project life cycle and a variety of commercial models, giving our clients the…",Senior,None,2021-04-05
Junior auditors,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,"It also involves understanding business drivers, associated risks and their potential effect on financial statement accounts.",Junior,None,2021-03-10
Details,Sharjah,University of Sharjah,None,To be responsible for analyzing and assessing the University of Sharjah’s Information Technology infrastructure to ensure processes and systems run accurately…,None,None,2021-03-10
Telemarketing representatives,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,The position of call center agent for outbound telemarketing and sales consists of using cold calling techniques on prospects and persuading potential customers…,None,None,2021-03-10
Senior Audit Manager,Sharjah,Petrofac,None,"Our comprehensive and tailored service offering covers each stage of the project life cycle and a variety of commercial models, giving our clients the…",Senior,None,2021-04-05
Associate Partner - Audit and Assurance,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,"The Associate Partner - Audit and Assurance works as part of an audit team or takes responsibility for running the audit, working directly with the client and…",None,None,2021-03-10
Finance Accounts Manager,Sharjah,Irwin & Dow,None,The successful candidate will also manage relationships with all external bodies including regulatory and governmental organisations and external auditors on a…,None,None,2021-03-10
Accountant Cum Telemarketing representative,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,The position of Accountant cum Telemarketing representative for accounting and auditing and outbound telemarketing and sales consists of using cold calling…,None,None,2021-03-10
Senior Internal Auditor,Sharjah,Petrofac,None,SIAs will be assigned as Audit Lead where they have the relevant skills and capabilities and/or it is a development opportunity.,Senior,None,2021-04-05
Junior auditors,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,Our audit professionals examine a company's financial statements and test their reliability. This includes getting to know the business and assessing processes…,Junior,None,2021-03-10
Details,Sharjah,University of Sharjah,None,As well as handle the technological innovation process for IT services by creating a risk profile for current and future projects with a focus on the university…,None,None,2021-03-10
Telemarketing representatives,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,Helping our team in any accounting and auditing work if it is required. The position of call center agent for outbound telemarketing and sales consists of using…,None,None,2021-03-10
Senior Audit Manager,Sharjah,Petrofac,None,Petrofac is currently looking to recruit a Senior Audit Manager (SAM) based in Sharjah. Petrofac is a leading international service provider to the energy…,Senior,None,2021-04-05
Associate Partner - Audit and Assurance,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,We are not offering any salary or any other benefits for this job because it is a profession partnership. The Associate Partner - Audit and Assurance works as…,None,None,2021-03-10
Accountant Cum Telemarketing representative,Sharjah,Abdelhamid & Co Certified Public Accountants & Aud...,None,Helping our team in any accounting and auditing work if it is required. The position of Accountant cum Telemarketing representative for accounting and auditing…,None,None,2021-03-10
Internal Auditor,Ras al-Khaimah,AKI GROUP,"12,000-15,000",A reputable real estate company located in RAK is hiring an experienced Internal auditor who is well versed in whole inernal audit management aspects.,None,None,2021-03-31
