Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Senior Business Development Manager,Dubai,TOP MIDDLE BASE PTE LTD,"8,000","Coordinate with Technical, Operations, Finance and Marketing departments. Negotiate contract terms with clients in accordance with organisation’s policies and…",Senior,None,3/3/21
Laundry Assistant - Crowne Plaza Dubai Marina,Dubai,Crowne Plaza,None,Count and verify all items collected as per laundry price lists/laundry sheet signed by the guest and note down any discrepancy or damages on the same sheet •…,None,None,3/16/21
Manager - CX Solutions,Dubai,Majid Al Futtaim,None,"Majid Al Futtaim invites you to join us in our quest to create great moments for everyone, everyday! We are the leading shopping mall, residential communities,…",None,None,3/11/21
Infrastructure Ops Manager,Dubai,Majid Al Futtaim,None,To be successful in this position you will be an experienced Infrastructure Manager who has worked in large and complex technical environment with a multi…,None,None,3/12/21
Junior Implementation Manager,Dubai,BeyondTrust,None,Effectively manage technical and non-technical project issues to resolution. Ability to learn required technical knowledge relating to BeyondTrust products.,Junior,None,2/16/21
Machine Operator,Dubai,CANPACK,None,Minimum of 2 years experience in the same field with good technical and maintenance background. Communicating and reporting comments on technical conditions of…,None,None,3/13/21
FM Estimation Manager,Dubai,Al-Futtaim,None,Bid Manager (FM Estimation Manager). Negotiating with suppliers on both technical and commercial aspects of products. Refocusing efforts if off track.,None,None,3/4/21
Compliance and Assurance Manager,Dubai,Bupa Global,None,Provide technical knowledge and support on key projects. To promote a robust and effective conduct and compliance culture and technical support to key strategic…,None,None,3/18/21
Contributions Account Manager - Dubai,Dubai,Bloomberg,None,"Collaborative attitude and ability to work with the global team of motivated Content Specialists, Product managers, Technical Account Managers, and Engineering…",None,None,3/17/21
Facilities Manager,Dubai,Al-Futtaim,None,"The FM also has to develop and maintain standard operating procedures, emergency response plans, preventive and predictive maintenance programmes and all…",None,None,2/16/21
General Manager (m/f),Dubai,Departer - The German Headhunter,None,Experience in selling engineered solutions into industrial–oriented and technical end customers and distribution partners. Regular reporting to European HQ.,None,None,2/16/21
Sales Manager - Dubai,Dubai,Caduceus Lane,None,Caduceus Lane is looking for a professional Sales Manager who will partner with and ensure the long-term success of our key partners by our account managers…,None,None,3/11/21
Manager - Digital Solutions,Dubai,Majid Al Futtaim,None,"Assess the requirements working closely with the IT business partners, technical manager and business analysts and update and/or upgrade the applications/…",None,None,3/11/21
Project Manager,Dubai,Avanza Solutions,None,8+ years of Banking Domain experience. Coordinate internal resources and third parties/vendors for the flawless execution of projects.,None,None,3/4/21
Service Manager,Dubai,CAR FARE AUTO-WORSHOP,None,Candidate must have Diploma in Automotive or Graduate in Mechanical Engineering with minimum 10 years of experience as Service Manager.,None,None,2/24/21
Database Management Officer,Dubai,Jebel Ali School,"5,000-5,500",Manage the technical aspects for setup of data for all new students and removal of leavers. Work closely with the iSams manager to ensure that data collection…,None,3,3/4/21
Manager Procurement,Dubai,Zayed University,None,Knowledge & Technical Competency - Demonstrates proficiency in technical and job knowledge aspects of the position to achieve high level of performance.,None,None,2/16/21
Operations Manager - Construction,Dubai,Boundless Consulting Human Resources Architects,None,Communicating technical details to clients when required. Prioritizing tasks and allocating work to project managers. 10+ years of experience in the same field.,None,None,3/15/21
Sales Manager,Dubai,TREK BICYCLE STORE,None,"As a Sales Manager at Trek Bicycle Store – UAE, your day to day tasks will include (however not limited to): Exceptional written and verbal communication skills…",None,None,2/16/21
