Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Club (& Activities & Sports) Manager,Dubai,Fortes Education,None,"As a Club Manager (CM) your. We seek a Club (& Activities & Sports) Manager. With exceptional leadership qualities, strong commercial and management skills for.",None,None,2021-02-16
Chief of Staff - Government & Public Services - Manager,Dubai,Deloitte,None,Clients & Industries - Chief of Staff - Government & Public Services - Deloitte Middle East - Manager/Senior Manager. Looking for a rewarding career?,None,None,2021-03-03
Manager - Application Operations,Dubai,Majid Al Futtaim,None,Strong IT Operations Management experience. IT proficient to understand new trends and technologies in the market. Provides 24/7 support as required.,None,None,2021-03-14
Retail & Shopper Manager,Dubai,Kantar TNS,None,"While consumer panel data is very powerful in helping clients take informed decisions in brand marketing areas, it can be equally powerful in supporting the…",None,None,2021-03-16
Assistant Product Manager,Dubai,Emirates NBD,None,Ensure IT development is in line with product requirements and project timeline. The Product Manager is responsible for managing all lifecycle stages for a…,None,None,2021-03-16
Retail & Shopper Manager,Dubai,KANTAR,None,"While consumer panel data is very powerful in helping clients take informed decisions in brand marketing areas, it can be equally powerful in supporting the…",None,None,2021-03-16
Technical Project Manager,Dubai,Majid Al Futtaim,None,Facilitate lessons learned sharing across other project managers. 10 or more years of experience in IT and business/industry.,None,None,2021-03-11
Student Recruitment Manager (Dubai),Dubai,University of Birmingham,None,Student Recruitment Manager (Dubai) - Dubai Operations - 97053 - Grade 7. You will have the opportunity to develop and may also need to specialise your duties…,None,None,2021-02-27
Information Technology (IT) Internship - Summer 2021,Dubai,Procter & Gamble,None,"Your Role as an Intern in IT: IT 00003129 We are looking for Students: A career in IT with us will build your ownership and influencing skills, and provide you…",None,None,2021-03-10
IT Help Desk Manager,Dubai,Career Raiser,None,This position reports to the IT Director. Create and implement an IT Support knowledge base. 4+ years managing/Supervising and IT Help Desk environment.,None,None,2021-02-16
"General Manager, UAE",Dubai,Weezy,None,"We will expect you to stand on your own two feet, leveraging our technology and playbook, but adapting it for local tast.",None,None,2021-03-11
Housekeeping Manager,Dubai,MOVENPICK,None,"What is in it for you: As a Housekeeping Manager, you will show your leadership and interpersonal strengths to maximize the Rooms Operations, and ensure an…",None,None,2021-03-17
Database Management Officer,Dubai,Jebel Ali School,"5,000-5,500","The Data Management Officer will work closely with SLT, Accounts, Parent Relations Team, ICT Lead Practitioner and IT Manager in the fulfilment of all tasks.",None,3,2021-03-04
Restaurant Manager - All day Dining,Dubai,Waldorf Astoria Hotels & Resorts,None,What will it be like to work for this Hilton Worldwide Brand? What will it be like to work for Waldorf Astoria Hotels & Resorts? What will I be doing?,None,None,2021-03-11
