Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Intern - Landscape Architecture,Dubai,AECOM,None,"+ Basic capability in Autodesk Revit software. Whether you are an engineer, planner, scientist or surveyor, we are looking for people who share our purpose and…",Architect,None,3/15/21
System Engineer,Dubai,"ESRI, Inc.",None,Asses and provide recommendations to customers related to the appropriate and effective use of ArcGIS software components. Our mission is simple yet powerful:,None,None,3/13/21
Field Engineer L1 - Maritime (Dubai),Dubai,Global Eagle,None,"Troubleshoot RF and IP components of maritime VSAT/ESV systems using specialized software and test equipment. With 1,300 employees on six continents and leading…",None,None,3/12/21
Database Administrator,Dubai,Nano Health Suite,"2,609-12,506",The role requires an enthusiastic and resourceful engineer who is passionate about building exceptionally reliable and performance data storage solutions.,None,,2/16/21
Senior Process Engineer,Dubai,Dno ASA,None,High level of proficiency in Engineering software (PDMS P&ID/ HYSYS / MS software/ FlareNet). At least 5 years as a successful Senior Engineer.,Senior,None,3/18/21
IT Infrastructure Engineer II,Dubai,Talabat,None,"Highly involved in on/off boarding of employees, setting up the machines, required software and all the related setups. Good understanding of VPN tunnels.",None,None,3/12/21
Software Engineer,Dubai,JRD Group,None,"You will be involved in the back end implementation, planning, strategy and technical architecture for various projects on PropSpace.com – the leading real…",None,None,2/16/21
Site Operations Supervisor,Dubai,Wheels AHOY,"3,000","Solidworks / Fusion 360 Autocad Software: Engineer a build from a design, illustration and or blueprint. Do you love Food, Trucks Building?",None,1,3/16/21
IT Support Engineer,Dubai,Eway Infosystem LLC,"2,000-2,500",Troubleshoot and resolve issues with software or hardware. Install and configure software and computer systems. IT Support Duties and Responsibilities.,None,None,3/8/21
Interior Designer,Dubai,Interior Fit Out,"5,000-6,000","Use computer-aided drafting (CAD) and related software to produce construction documents. Coordinate with other professionals, such as contractors, architects,…",None,None,2/25/21
Engineering Project Manager,Dubai,HILTI,None,"For the role of Engineering Project Manager, you will be leading, steering and coordinating a multidisciplinary project team of Application Engineers, BIM Lead…",None,None,3/18/21
GIS Software Engineer,Dubai,Space Imaging Middle East,None,"As a GIS Software Engineer, you will participate in the design, architecture, development and maintenance of large-scale geo-coding/geo-spatial/GIS applications…",None,None,2/16/21
